"Tết trong đời sống tâm linh người Việt - T.1","SC","","","Văn Hóa Thông Tin","2008","230tr; 19cm","","T258TR","Tiếng Việt","H","dd394.597","Nếp xưa, Tết Việt; Phong tục ngày Tết;Tết trong đời sống tâm linh người Việt; tản mạn về Tết","","","<STARBOOOKS>","<Văn hóa dân gian>","<D.3130.TK><M.3128.TK><M.3129.TK>"
"Nên tài nên đức nhờ tự học - T.1","SC","","","Thuận Hoá","2008","139tr; 20.5cm","","N254T","Tiếng Việt","TP.Huế","ddc370.11","Tấm gương tự học; Thực trạng và tầm nhìn trong cải cách giáo dục hiện nay,..","","","<Nguyễn Kỳ>","<Giáo dục học>","<D.3134.TK><D.3135.TK><M.3131.TK><M.3132.TK><M.3133.TK>"
"Biển học vô bờ :Giải quyết những khó khăn trong học tập - t.1","SC","","","Thanh Niên","2008","192tr; 20.5cm","Tủ sách tuổi học đường","GI103Q","Tiếng Việt","H","ddc370.15","Phương pháp khắc phục những khó khăn trong học tập","","","<Nguyễn Đình Cửu><Nguyễn Xuân Nguyên>","<Giáo dục học>","<D.3139.TK><D.3140.TK><M.3136.TK><M.3137.TK><M.3138.TK>"
"647 câu hỏi đáp về Đoàn ,Đội, Hội - T.1","SC","","","Thanh Niên","2008","171tr; 20.5cm","","S111TR","Tiếng Việt","H","dda335.434 6","647 Câu hỏi trắc nghiêm về Đoàn, Đội, Hội","","","<Nguyễn Đức Hoà><Phạm Thị Thu Duyên>","<Đoàn, Đội , Hội>","<D.3144.TK><D.3145.TK><M.3141.TK><M.3142.TK><M.3143.TK>"
"Câu hỏi ôn tập và hướng dẫn trả lời môn Chính trị trung cấp chuyên nghiệp - t.1","SC","","","Thanh Niên","2008","231tr; 20.5cm","","C125H","Tiếng Việt","H","dda335.434 607 1","Các câu hỏi trắc nghiệm và tự luận môn Chính trị","","","<Nguyễn Đức Hoà>","<Chinh trị>","<D.3149.TK><M.3146.TK><M.3147.TK><M.3148.TK>"
"Bình Định Vương - T.1","SC","","","Văn Hóa Thông Tin","2008","186tr; 20.5cm","Kể chuyện lịch sử Việt Nam","B312Đ","Tiếng Việt","H","kk959.7","Tập hợp các câu chuyện lịch sử kể về vị Vua Lê Lợi","","","<NGUYễN Bích Ngọc>","<Lịch sử>","<M.3150.TK>"
"Bắc Bình Vương","SC","","","Văn Hóa Thông Tin","2008","215tr; 20.5cm","Kể chuyện lịch sử Việt Nam","B113B","Tiếng Việt","H","kk959.7","Tập hợp các câu chuyện lịch sử của Triều đại Tây sơn","","","<Phạm Minh Thảo>","<Lịch sử>","<M.3151.TK>"
"Đại thắng Minh Hoàng Hậu","SC","","","Văn Hóa Thông Tin","2008","154tr; 20.5cm","Kể chuyện lịch sử Việt Nam","Đ103TH","Tiếng Việt","H","kk959.7","Tập hợp các câu chuyện kể về các vị Hoàng Hậu và Hoàng Thái Hậu trong các triều đại phong kiến Việt nam","","","<Phạm Khang>","<Lịch sử>","<M.3152.TK>"
"Sấm Trạng Trình","SC","","","Văn Hóa Thông Tin","2008","20.5cm","Kể chuyện lịch sử Việt Nam","S120TR","Tiếng Việt","H","kk959.7","Tập hợp các chuyện kể về các vị Vua,các nhân vận lịch sử trong cung đình;các câu chuyện dã sử lưu truyền trong dân gian","","","<Phạm Minh Thảo>","<Lịch sử>","<M.3153.TK>"
"Đá Liễu Thăng","SC","","","Văn Hóa Thông Tin","2008","279tr20.5cm","Kể chuyện llịch sử Việt Nam","Đ100L","Tiếng Việt","H","kk959.7","Các câu chuyện kể về các vị Vua ; các nhân vật lịch sử trong Hoàng tộc; các câu chuyện dã sử lưu truyền trong dân gian","","","<Phạm Minh Thảo>","<Lịch sử>","<M.3154.TK>"
"Sùng Chính Viện","SC","","","Văn Hóa Thông Tin","2008","234tr; 20.5cm","Kể chuyện lịch sử Việt Nam","S513CH","Tiếng Việt","H","kk959.7","kể về các vị Vua; nhân vật lịch sử; dã sử lưu truyền trong dân gian","","","<Lưu Hùng Chương>","<Lịch sử>","<M.3155.TK>"
